,,,,,,,,,
,En riesgo,Nombre de la tarea,Estado,Asignado a,Fecha de inicio,Fecha de finalización,Porcentaje completo,Duración,Predecesores
1,,Hablitación Plataforma Calypso Banco BCI,En progreso,Sixmanager,06/01/26,29/04/26,3%,82d,
2,,Ambiente Pre Productivo,,Sixmanager,06/01/26,29/04/26,3%,82d,
3,,Kick off y requerimientos,,,06/01/26,06/01/26,100%,1d,
4,,Inicio formal del proyecto (Kick Off),Completo,Sixmanager - BCI,06/01/26,06/01/26,100%,1d,
5,,Kickoff realizado,Completo,Sixmanager - BCI,06/01/26,06/01/26,100%,0,
6,,Habilitacion de infrastructura fisica (Pre requisitos),,,23/02/26,03/03/26,0%,7d,
7,,Recepcion de servidores DELL,No se ha iniciado,BCI,27/02/26,27/02/26,0%,1d,
8,,Direccionamiento IP / VLAN / PORT,No se ha iniciado,BCI,23/02/26,23/02/26,0%,1d,
9,,Espacio en data center para nuevo HW (Ru's),No se ha iniciado,BCI,24/02/26,24/02/26,0%,1d,
10,,Coordinacion de hardware a data center BCI,No se ha iniciado,"Sixmanager, BCI",25/02/26,25/02/26,0%,1d,
11,,Gestión de accesos vpn a Servidores,No se ha iniciado,BCI,26/02/26,26/02/26,0%,1d,
12,,Disponibilidad de puertas para conectividad,No se ha iniciado,BCI,23/02/26,23/02/26,0%,1d,
13,,Rackeo y conecticvidad de equipos en Aconcagua (Encendido y sanity boot),No se ha iniciado,"Sixmanager, BCI",02/03/26,02/03/26,0%,1d,7
14,,Rackeo y conecticvidad de equipos en Longovilo- 3er sitio (Encendido y sanity boot),No se ha iniciado,"Sixmanager, BCI",03/03/26,03/03/26,0%,1d,13
15,,Infraestructura instalada,No se ha iniciado,Sixmanager,03/03/26,03/03/26,0%,0,14
16,,Plan de implementacion,,,26/01/26,27/04/26,2%,66d,
17,,Revisión y levantamiento de infraestructura actual,No se ha iniciado,Sixmanager,26/01/26,30/01/26,0%,5d,
18,,Diseño detallado de arquitectura preproductiva,No se ha iniciado,Sixmanager,02/02/26,06/02/26,0%,5d,
19,,Aprobación de diseño por parte del cliente,No se ha iniciado,BCI,06/02/26,06/02/26,0%,0,18
20,,Prerrequisitos,,,02/02/26,17/03/26,4%,32d,
21,,Entrega documento prerrequisitos,No se ha iniciado,Sixmanager,02/02/26,02/02/26,50%,1d,
22,,Reglas de acceso (Permisos en firewall entre redes y hacia internet),No se ha iniciado,BCI,04/03/26,06/03/26,0%,3d,15
23,,"Registros DNS requeridos (Subdominios, registros tipo A, Reversos)",No se ha iniciado,BCI,09/03/26,11/03/26,0%,3d,22
24,,Accesos a servicios de red (Load Balancer / NTP),No se ha iniciado,BCI,12/03/26,16/03/26,0%,3d,23
25,,Validación de Prerrequisitos,No se ha iniciado,Sixmanager,17/03/26,17/03/26,0%,1d,24
26,,Generación de certificados,No se ha iniciado,BCI,11/03/26,13/03/26,0%,3d,
27,,Prerrequisitos entregados,No se ha iniciado,Sixmanager,17/03/26,17/03/26,0%,0,25
28,,Habilitación OLVM y BD,,,18/03/26,26/03/26,0%,7d,
29,,Instalación de Hypervisor,No se ha iniciado,Sixmanager,18/03/26,19/03/26,0%,2d,27
30,,Configuración de Networking,No se ha iniciado,"Sixmanager, BCI",20/03/26,20/03/26,0%,1d,29
31,,Integración con redes SAN,No se ha iniciado,"Sixmanager, BCI",23/03/26,23/03/26,0%,1d,30
32,,Despliegue de HostedEngine,No se ha iniciado,Sixmanager,24/03/26,24/03/26,0%,1d,31
33,,Integración con redes del cliente,No se ha iniciado,Sixmanager,25/03/26,25/03/26,0%,1d,32
34,,"Creación de VMS utility Openshift (Bastión, Bootstrap)",No se ha iniciado,Sixmanager,26/03/26,26/03/26,0%,1d,33
35,,Habilitación BD Finalizada,No se ha iniciado,Sixmanager,26/03/26,26/03/26,0%,0,34
36,,Habilitación Cluster Openshift Pre Productivo,,,27/03/26,16/04/26,0%,15d,
