ID,Nivel,Nombre de Tarea,Estado,Asignado,Inicio,Fin,Avance,Duración,Predecesores
1,0,Hablitación Plataforma Calypso Banco BCI,En progreso,,06/01/26,29/04/26,8%,81.5d,
2,1,    Ambiente Pre Productivo,En progreso,,06/01/26,29/04/26,8%,81.5d,
3,2,        Kick off y requerimientos,Completo,,06/01/26,06/01/26,100%,1d,
4,3,            Inicio formal del proyecto (Kick Off),Completo,,06/01/26,06/01/26,100%,1d,
5,3,            Kickoff realizado,Completo,,06/01/26,06/01/26,100%,0,
6,2,        Habilitacion de infrastructura fisica (Pre requisitos),En progreso,,15/01/26,03/03/26,20%,34d,
7,3,            Solicitudes y formularios,En progreso,,15/01/26,26/01/26,40%,8d,
8,3,            Recepcion de servidores DELL,No se ha iniciado,,27/02/26,27/02/26,0%,1d,
9,3,            Direccionamiento IP / VLAN / PORT,No se ha iniciado,,23/02/26,23/02/26,0%,1d,
10,3,            Espacio en data center para nuevo HW (Ru's),No se ha iniciado,,24/02/26,24/02/26,0%,1d,
11,3,            Coordinacion de hardware a data center BCI,No se ha iniciado,,25/02/26,25/02/26,0%,1d,
12,3,            Gestión de accesos vpn a Servidores,No se ha iniciado,,26/02/26,26/02/26,0%,1d,
13,3,            Disponibilidad de puertas para conectividad,No se ha iniciado,,23/02/26,23/02/26,0%,1d,
14,3,            Rackeo y conecticvidad de equipos en Aconcagua (Encendido y sanity boot),No se ha iniciado,,02/03/26,02/03/26,0%,1d,8
15,3,            Rackeo y conecticvidad de equipos en Longovilo- 3er sitio (Encendido y sanity boot),No se ha iniciado,,03/03/26,03/03/26,0%,1d,14
16,3,            Infraestructura instalada,No se ha iniciado,,03/03/26,03/03/26,0%,0,15
17,2,        Plan de implementacion,En progreso,,26/01/26,16/04/26,2%,58.5d,
18,3,            Revisión y levantamiento de infraestructura actual,No se ha iniciado,,26/01/26,30/01/26,0%,5d,
19,3,            Diseño detallado de arquitectura preproductiva,No se ha iniciado,,02/02/26,06/02/26,0%,5d,
20,3,            Aprobación de diseño por parte del cliente,No se ha iniciado,,06/02/26,06/02/26,0%,0,19
21,3,            Prerrequisitos,En progreso,,02/02/26,17/03/26,4%,32d,
